Name;h;w;s;t;r1;r2
HEA 100;96;100;5;8;12;1
HEA 120;114;120;5;8;12;1
HEA 140;133;140;5,5;8,5;12;1
HEA 160;152;160;6;9;15;1
HEA 180;171;180;6;9,5;15;1
HEA 200;190;200;6,5;10;18;1
HEA 220;210;220;7;11;18;1
HEA 240;230;240;7,5;12;21;1
HEA 260;250;260;7,5;12,5;24;1
HEA 280;270;280;8;13;24;1
HEA 300;290;300;8,5;14;27;1
HEA 320;310;300;9;15,5;27;1
HEA 340;330;300;9,5;16,5;27;1
HEA 360;350;300;10;17,5;27;1
HEA 400;390;300;11;19;27;1
HEA 450;440;300;11,5;21;27;1
HEA 500;490;300;12;23;27;1
HEA 550;540;300;12,5;24;27;1
HEA 600;590;300;13;25;27;1
HEA 650;640;300;13,5;26;27;1
HEA 700;690;300;14,5;27;27;1
HEA 800;790;300;15;28;30;1
HEA 900;890;300;16;30;30;1
HEA 1000;990;300;16,5;31;30;1
HEB100;100;100;6;10;12;1
HEB120;120;120;6,5;11;12;1
HEB140;140;140;7;12;12;1
HEB160;160;160;8;13;15;1
HEB180;180;180;8;14;15;1
HEB200;200;200;9;15;18;1
HEB220;220;220;9,5;15;18;1
HEB240;240;240;10;17;21;1
HEB260;260;260;10;17,5;24;1
HEB280;280;280;10;18;24;1
HEB300;300;300;11;19;27;1
HEB320;320;300;11;20,5;27;1
HEB340;340;300;12;21,5;27;1
HEB360;360;300;12;22,5;27;1
HEB400;400;300;13;24;27;1
HEB450;450;300;14;26;27;1
HEB500;500;300;14,5;28;27;1
HEB550;550;300;15;29;27;1
HEB600;600;300;15,5;30;27;1
HEB650;650;300;16;31;27;1
HEB700;700;300;17;32;27;1
HEB800;800;300;17,5;33;30;1
HEB900;900;300;18,5;35;30;1
HEB1000;1000;300;19;36;30;1
HEM100;120;106;12;20;12;1
HEM120;140;126;12,5;21;12;1
HEM140;160;146;13;22;1;1
HEM160;180;166;14;23;15;1
HEM180;200;206;15;25;18;1
HEM200;220;206;15;25;21;1
HEM220;240;226;15,5;26;18;1
HEM240;270;248;18;32;24;1
HEM260;290;268;18;32,5;24;1
HEM280;310;288;18;33;27;1
HEM300;340;310;21;39;27;1
HEM320;359;309;21;40;27;1
HEM340;377;309;21;40;27;1
HEM360;395;308;21;40;27;1
HEM400;432;307;21;40;27;1
HEM450;478;307;21;40;27;1
HEM500;524;306;21;40;27;1
HEM550;572;306;21;40;27;1
HEM600;620;305;21;40;27;1
HEM700;716;304;21;40;27;1
HEM800;814;303;21;40;30;1
HEM900;910;302;21;40;30;1
HEM1000;1000;302;21;40;30;1
HL 920 x 344;927;418;19,3;32;19;1
HL 920 x 368;931;419;20,3;34,3;19;1
HL 920 x 390;936;420;20,3;36,6;19;1
HL 920 x 420;943;422;22,5;39,9;19;1
HL 920 x 449;948;423;24;42,7;19;1
HL 920 x 491;957;422;25,9;47;19;1
HL 920 x 537;965;425;28,4;52,2;19;1
HL 920 x 588;976;427;31;55,9;19;1
HL 920 x 656;987;431;34,5;5,62;19;1
HL 920 x 725;999;434;38,1;68,1;19;1
HL 920 x 787;1011;437;40,9;89,9;19;1
HL 920 x 970;1043;446;50;27;19;1
HL 920 x 1077;1061;451;55;99,1;19;1
HL 920 x 1194;1081;457;60,5;109;19;1
HL 920 x 1269;1093;461;64;115,1;19;1
HL 920 x 1377;1093;473;76,7;115,1;19;1
HL 1000 AA;982;400;16,5;31;30;1
HL 1000 A;990;400;16,5;36;30;1
HL 1000 B;1000;400;19;36;30;1
HL 1000 M;1000;402;21;40;30;1
HL 1000 x 443;1008;402;23,6;42,9;30;1
HL 1000 x 483;1012;404;25,4;46;30;1
HL 1000 x 539;1020;407;28,4;51,1;30;1
HL 1000 x 554;1030;408;29,5;52,3;30;1
HL 1000 x 591;1040;409;31;55,9;30;1
HL 1000 x 642;1048;412;34;60;30;1
HL 1000 x 748;1068;417;39;70;30;1
HL 1000 x 883;1092;424;45,5;82;30;1
HL 1000 x 976;1108;428;50;89,9;30;1
HL 1100 A;1090;400;18;31;20;1
HL 1100 B;1100;400;20;36;20;1
HL 1100 M;1108;402;22;40;20;1
HL 1100 R;1118;405;26;45;20;1
HL 1100 x 548;1128;407;28;50;20;1
HL 1100 x 607;1138;410;31;55;20;1
HD260x54.1;244;260;6,5;9,5;24;1
HD260x68.2;250;260;7,5;12,5;24;1
HD260x93;260;260;10;17,5;24;1
HD260x114;268;262;12,5;21,5;24;1
HD260x142;278;265;15,5;26,5;24;1
HD260x172;290;268;18;32,5;24;1
HD260x225;309;271;24;42;24;1
HD260x299;335;278;31;55;24;1
HD320x74.2;301;300;8;11;27;1
HD320x97.6;310;300;9;15,5;27;1
HD320x127;320;300;11,5;20,5;27;1
HD320x158;330;303;18;32;27;1
HD320x198;343;306;18;32;27;1
HD320x245;359;309;21;40;27;1
HD320x300;375;313;27;48;27;1
HD360x134;356;369;11,2;18;15;1
HD360x147;360;370;12,3;19,8;15;1
HD360x162;364;371;13,3;21,8;15;1
HD360x179;368;373;15;23,9;15;1
HD360x196;372;374;16,4;26,2;15;1
HD400x187;368;391;15;24;15;1
HD400x216;375;394;17,3;27,7;15;1
HD400x237;380;395;18,9;30,2;15;1
HD400x262;387;398;21,1;33,3;15;1
HD400x287;393;399;22,6;36,6;15;1
HD400x314;399;401;24,9;39,6;15;1
HD400x347;407;404;27,2;43,7;15;1
HD400x382;416;406;29,8;48;15;1
HD400x421;425;409;32,8;52,6;15;1
HD400x463;435;412;35,8;57,4;15;1
HD400x509;446;416;39,1;62,7;15;1
HD400x551;455;418;42;67,6;15;1
HD400x592;465;421;45;72,3;15;1
HD400x634;474;424;47,6;77,1;15;1
HD400x677;483;428;51,2;81,5;15;1
HD400x744;498;432;55,6;88,9;15;1
HD400x818;514;437;60,5;97;15;1
HD400x900;531;442;65,9;106;15;1
HD400x990;550;448;71,9;115;15;1
HD400x1086;569;454;78;125;15;1
HD400x1202;580;471;95;130;15;1
HD400x1299;600;476;100;140;15;1
HP200x43;200;205;9;9;10;1
HP200x53;204;207;11,3;11,3;10;1
HP220x57;210;224,5;11;11;18;1
HP260x75;249;265;12;12;24;1
HP260x87;253;267;14;14;24;1
HP305x79;299,3;306,4;11;11;15,2;1
HP305x88;301,7;307,8;12,4;12,3;15,2;1
HP305x95;303,7;308,7;13,3;13,3;15,2;1
HP305x110;307,9;310;17;15,3;15,2;1
HP305x126;312,3;312,9;17,5;17,6;15,2;1
HP305x149;318,5;316;20,6;20,7;15,2;1
HP305x180;326,7;319,7;24,8;24,8;15,2;1
HP305x186;328,3;320,9;25,5;25,6;15,2;1
HP305x223;337,9;325,7;30,3;30,4;15,2;1
HP320x88;303;304;12;12;27;1
HP320x103;307;306;14;14;27;1
HP320x117;311;308;16;16;27;1
HP320x147;319;212;20;20;27;1
HP320x184;329;317;25;25;27;1
HP360x84;340;367;10;10;15,2;1
HP360x109;346,4;271;12,8;12,9;15,2;1
HP360x133;352;373,8;15,6;15,7;15,2;1
HP360x152;356,4;376;17,8;17,9;15,2;1
HP360x174;361,4;378,5;20,3;20,4;15,2;1
HP360x180;362,9;378,8;21,1;21,1;15,2;1
HP400x122;348;390;14;14;15;1
HP400x140;353;392;16;16;15;1
HP400x158;365;394;18;18;15;1
HP400x176;360;396;20;20;15;1
HP400x194;364;398;22;22;15;1
HP400x213;368;400;24;24;15;1
HP400x231;372;402;26;26;15;1
IPE 80;80;46;3,8;5,2;5;1
IPE 100;100;55;4,1;5,7;7;1
IPE 120;120;64;4,4;6,3;7;1
IPE 140;140;73;4,7;6,9;7;1
IPE 160;160;82;5;7,4;9;1
IPE 180;180;91;5,3;8;9;1
IPE 200;200;100;5,6;8,5;12;1
IPE 220;220;110;5,9;9,2;12;1
