# Translation staging — ~162 new keys for languageConstruct.csv
# Format: KEY<TAB>EN_text
# Notes for translators:
#  - {0}, {1} are runtime placeholders — keep as-is
#  - \n inside strings means newline — keep the two-char sequence \n (not an actual line break)
#  - Technical terms to KEEP IN ENGLISH: CSV, JSON, DXF, STEP, BOM, SpaceClaim, ANSYS, AESC, mm, Construct
#  - Preserve punctuation (trailing colon, exclamation, period, ellipsis)
#  - Case: lowercase/Title-case follow the original English convention
#  - For button labels, keep terse (< ~20 chars) when possible

# === SETTINGS (orphans already-tagged) ===
Label_Decimals	Decimals:
Label_BomDecimals	BOM decimals:
Checkbox_FrameColor	Profile color:

# === SETTINGS (new keys) ===
Settings_Label_LicenseType	License type:
Settings_Grid_Type	Type
Settings_Grid_Name	Name
Settings_Grid_NamingScheme	Naming scheme
Settings_Placeholder_SerialNumber	Enter serial number Here
Settings_Tooltip_SaveSettings	Save settings
Settings_Tooltip_ImportSettings	Import settings from JSON file
Settings_Tooltip_ExportSettings	Export settings to JSON file
Settings_Tooltip_ResetSettings	Reset all settings to defaults (license preserved)
Settings_Tooltip_SelectNewFile	Select new file
Settings_Tooltip_OpenFileLocation	Open file location
Settings_Tooltip_PickColor	Click to pick a color
Settings_CsvPath_ConnectorProperties	Connector properties
Settings_CsvPath_ComponentProperties	Component properties
Settings_CsvPath_Bolts	Bolts
Settings_CsvPath_Nuts	Nuts
Settings_CsvPath_Washers	Washers
Settings_CsvPath_PlateProperties	Plate properties
Settings_CsvPath_ProfilesCircular	Profiles - circular
Settings_CsvPath_ProfilesH	Profiles - H
Settings_CsvPath_ProfilesL	Profiles - L
Settings_CsvPath_ProfilesRectangular	Profiles - rectangular
Settings_CsvPath_ProfilesT	Profiles - T
Settings_CsvPath_ProfilesU	Profiles - U
Settings_CsvPath_CustomProfiles	Custom profiles
Settings_Msg_Saved	Settings saved.
Settings_Msg_SerialRequired	Please enter a serial number first.
Settings_Msg_LicenseActivated	License activated.
Settings_Msg_FolderNotFound	Folder not found.
Settings_Msg_Exported	Settings exported:\n{0}
